Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2010,1103099,Willow Lake Central Preparatio,Illinois,Saline,Illinois Basin,Active,Underground,Operating Subsidiary,Preparation Plant,Big Ridge Inc,"420 Long Lane Road, Equality, IL 62934",AFCI,0,36,64151
2010,1103156,Wildcat Hills Mine-Underground,Illinois,Saline,Illinois Basin,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crst Blvd, #100, Evansville, IN 47715",,748814,93,226252
2010,1103232,New Future Mine,Illinois,Saline,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946",,616533,294,191809
2010,1102664,Viper Mine,Illinois,Sangamon,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Icg Illinois, Llc","8100 East Main, Williamsville, IL 62693",,2475257,305,651766
2010,1103064,Friendsville Mine,Illinois,Wabash,Illinois Basin,Active,Surface,Operating Subsidiary,Mine only,Friendsville Mine Ll,"528 Main St, Ste 202, Evansville, IN 47708",,1080062,54,166858
2010,1103058,Pattiki,Illinois,White,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"White County Coal, Llc","P.O. Box 457, Carmi, IL 62821",,1657057,301,683685
2010,1103141,Mach #1 Mine,Illinois,Williamson,Illinois Basin,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Mach Mining Llc,"P.O. Box 300, Johnston City, IL 62951",,5795493,145,369904
2010,1202397,Chinook Plant,Indiana,Clay,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels,"3589 N County Rd 500 W, Brazil, IN 47834",,0,11,24890
2010,1202414,Jc #3,Indiana,Clay,Illinois Basin,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Jarvis Coal Llc,"101 West Main Street, Jasonville, IN 47438",,25100,6,11735
2010,1201732,Craney Mine,Indiana,Daviess,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Solar Sources Inc,"Post Office Box 7, Petersburg, IN 47567",,945662,91,271940
2010,1201946,Viking Mine - Corning Pit,Indiana,Daviess,Illinois Basin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 28, Montgomery, IN 47558",,1533780,148,347720
2010,1202372,Antioch Mine,Indiana,Daviess,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","P.O. Box 16, Lamar, IN 47550",,379638,37,72458
2010,1202374,Shamrock Mine,Indiana,Dubois,Illinois Basin,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","625 N. Ninth St., Petersburg, IN 47567",,1286185,88,266408
2010,1202147,Francisco Mine,Indiana,Gibson,Illinois Basin,"Active, men working, not producing",Underground,Operating Subsidiary,Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd. Ste 100, Evansville, IN 47715",,0,47,113322
2010,1202207,Somerville,Indiana,Gibson,Illinois Basin,Active,Surface,Contractor,Mine and Preparation Plant,United Minerals Co Llc,"P.O. Box 400, Huntingburg, IN 47542",,2018382,91,278684
2010,1202215,Gibson Mine,Indiana,Gibson,Illinois Basin,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Gibson County Coal Llc,"P.O. Box 1269, Princeton, IN 47670",,3124104,304,791188
2010,1202258,Somerville Central Mine,Indiana,Gibson,Illinois Basin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","Rr #3 P.O. Box 155, Oakland City, IN 47660",,3340343,205,499099
